N,m,alpha_index,alpha,replications,batch,seed,fdr,mcse,ci95_lower,ci95_upper,rejection_probability,rejection_probability_mcse,mean_fixed_point_iterations,maximum_fixed_point_iterations
50,8350,47,0.048,100000,20000,25633164,0.04931054207494092,0.0003101813742402328,0.04870259775275492,0.04991848639712692,0.95243,0.0006731054531052323,5.08267,43
50,8350,48,0.049,100000,20000,25641083,0.05088898220725018,0.00031725013139751585,0.05026718337562045,0.05151078103887991,0.95329,0.0006672943570868858,5.10234,39
50,8350,49,0.05,100000,20000,25649002,0.05134476478180455,0.0003124458934439397,0.05073238208353699,0.051957147480072116,0.95437,0.0006599083504548184,5.12478,40
50,8350,50,0.051,100000,20000,25656921,0.05206143006367683,0.000312029566490844,0.05144986335124313,0.05267299677611054,0.9545,0.0006590125188492248,5.14577,41
50,8350,51,0.052,100000,20000,25664840,0.05379372193127731,0.0003208412994073317,0.0531648845396859,0.05442255932286871,0.95687,0.0006424157773591804,5.1576,34
50,8350,52,0.053,100000,20000,25672759,0.05498421501561816,0.00032501107260607946,0.05434720501873352,0.05562122501250281,0.9558,0.0006499719993968972,5.1919,34
50,8350,53,0.054,100000,20000,25680678,0.05508598465560846,0.0003168772767376322,0.05446491660568357,0.055707052705533354,0.95789,0.0006351121782803412,5.20472,36
50,8350,54,0.055,100000,20000,25688597,0.05689881622233888,0.00032793317218461637,0.056256079015521064,0.0575415534291567,0.95836,0.0006317128334931942,5.22329,38
50,8350,55,0.056,100000,20000,25696516,0.05781240285665428,0.00032961522592635207,0.0571663688850826,0.05845843682822596,0.95972,0.000621751731802976,5.25022,35
50,8350,56,0.057,100000,20000,25704435,0.05858834561153326,0.00032493530381695114,0.057951484118746455,0.05922520710432007,0.9601,0.0006189344876479257,5.26659,35
50,8350,57,0.058,100000,20000,25712354,0.05967710004447772,0.0003296919449587051,0.05903091570636569,0.06032328438258974,0.96101,0.0006121256398812255,5.28893,35
50,8350,58,0.059,100000,20000,25720273,0.06064835531384306,0.0003300732912637162,0.060001423550707575,0.06129528707697854,0.96095,0.000612577321650092,5.3094,34
50,8350,59,0.06,100000,20000,25728192,0.06146247235310507,0.00032985173809244506,0.06081597482620594,0.0621089698800042,0.96212,0.0006036978184489325,5.32048,36
50,8350,60,0.061,100000,20000,25736111,0.062328994859562024,0.0003297325378691548,0.061682730960807494,0.06297525875831655,0.96229,0.0006023948530656617,5.34266,36
50,8350,61,0.062,100000,20000,25744030,0.06448141441963616,0.00034395421645615437,0.0638072765430514,0.06515555229622091,0.96374,0.0005911447572295635,5.36489,38
50,8350,62,0.063,100000,20000,25751949,0.06454485491569352,0.00033495867363859163,0.06388834797905257,0.06520136185233447,0.96241,0.0006014731240878516,5.3924,40
50,8350,63,0.064,100000,20000,25759868,0.06568832233807459,0.00033993303053381566,0.06502206584107276,0.06635457883507642,0.96437,0.0005861783269620265,5.40078,35
50,8350,64,0.065,100000,20000,25767787,0.06651262174055136,0.0003345927597338682,0.06585683198198512,0.0671684114991176,0.96587,0.0005741527941236548,5.42316,38
50,8350,65,0.066,100000,20000,25775706,0.06730214933756186,0.0003353638203644864,0.0666448483279297,0.06795945034719401,0.96631,0.0005705697494610102,5.43043,39
50,8350,66,0.067,100000,20000,25783625,0.0690291903410206,0.0003451860400204878,0.06835263813461445,0.06970574254742676,0.96605,0.0005726901212697844,5.46082,34
50,8350,67,0.068,100000,20000,25791544,0.06957730165906288,0.0003411697692147316,0.06890862119878817,0.0702459821193376,0.96666,0.0005677010163809823,5.48098,37
50,8350,68,0.069,100000,20000,25799463,0.07115009989561373,0.00034794290157533404,0.07046814433984971,0.07183205545137775,0.96655,0.0005686044099371722,5.50075,39
50,8350,69,0.07,100000,20000,25807382,0.0712721833569629,0.00034160995017984826,0.07060264015784988,0.07194172655607593,0.96814,0.000555382214335317,5.51692,35
